"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT11"
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-06",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-07",,,,,"0.06",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-09",,,,,"0.50",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-12",,,,,"0.10",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-13",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-20",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-26",,"    4","0.55",,,,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-28",,,,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-29",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-05-30",,,,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-04",,,,,"0.44",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-05",,,,,"0.28",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-06",,,,,"0.90",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-07",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-09",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-10",,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-11",,,,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2020-06-12",,,,,"0.22",,,,,,,,,,,,,,,,,,,,
